formula_faza,bounds_faza,output_faza,time_faza,n_hrects,output_gubpi,time_gubpi,n_hrects,output_latte,time_latte,n_hrects,output_psi,time_psi,n_hrects,output_volesti,time_volesti,n_hrects
100*x/(x**2 + 4.0),"[[0, 1]]","(11.106433868408205, 11.206398010253912)",71.323,4433,"(0.3191055917455714, 11.162752168214817)",0.476,4433,Not a monomial: (4.0 + (x ^ 2.0)),0.023,4433,E[p_] = 1/Integrate[(1/((-16*xi1^2+10000)^(1/2)*1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)*100+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*800+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*1000000)*Boole[((-16*xi1^2+10000)^(1/2)*1/2+50)*1/xi1+2<=0]+1/(-(-16*xi1^2+10000)^(1/2)*1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*1000000+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)*100+1/((-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*800)*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*1/xi1+-2<=0])*Boole[((-16*xi1^2+10000)^(1/2)*1/2+50)*1/xi1+-1<=0]*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*1/xi1+-2!=0]*Boole[(-(-16*xi1^2+10000)^(1/2)*1/2+-50)*xi1<=0]*Boole[-25+-xi1<=0]*Boole[-25+xi1<=0]*Boole[xi1!=0]+(1/((-16*xi1^2+10000)^(1/2)*1/(-(-16*xi1^2+10000)^(1/2)*1/xi1^2*50+1/xi1^2*5000)^2*1/xi1^2*10000+-1/(-(,10.631,4433,"(11.519989999999998, 0.5770213678019214)",0.063,4433
100*x**3/(x**2 + 4.0),"[[0, 1]]","(5.323696136474609, 5.423622131347656)",70.148,4625,"(0.5663400696474378, 5.376511818963688)",0.465,4625,Not a monomial: (4.0 + (x ^ 2.0)),0.022,4625,"E[p_] = 100*Integrate[1/(4+xi1^2)*Boole[-1+xi1<=0]*Boole[-xi1<=0]*xi1^3,{xi1,-Infinity,Infinity}]",0.039,4625,"(5.442623, 0.4058318398314749)",0.062,4625
100/(4.0*x**2 + 9.0*x + 16.0),"[[0, 1]]","(4.668617248535156, 4.76837158203125)",27.783,815,"(0.9276544191989637, 4.720628468359892)",0.496,815,Not a monomial: (16.0 + (4.0 * (x ^ 2.0)) + (9.0 * x)),0.022,815,"E[p_] = 1/Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.28,815,"(4.779406, 0.2748088203169614)",0.067,815
100/((x + 4.0)*(x + 9.0)),"[[0, 1]]","(2.302381727430557, 2.4020724826388906)",20.818,266,"(2.3546278000721466, 2.356693662997182)",0.455,266,Not a monomial: (36.0 + (x ^ 2.0) + (13.0 * x)),0.025,266,"E[p_] = 1/Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.231,266,"(2.345342, 0.12642978516156705)",0.064,266
sqrt(1/x),"[[0.1, 1]]","(1.31781005859375, 1.41778564453125)",19.582,826,"(1.518090415492195, 1.520897514438192)",1.03,826,N\S,0.0,826,E[p_] = -1/10^(1/2)*20/9+20/9,0.058,826,"(nan, nan)",0.0,826
(1/x)**(1/3),"[[0.1, 1]]","(1.12884521484375, 1.22882080078125)",106.646,750,N\S,0.0,750,N\S,0.0,750,E[p_] = -1/10^(2/3)*5/3+5/3,0.045,750,"(nan, nan)",0.0,750
sqrt(1/(x + 1)),"[[0.1, 1]]","(0.6743607954545455, 0.7734374999999999)",11.034,59,"(0.8119062089966927, 0.8121147462585184)",0.8,59,N\S,0.0,59,E[p_] = -(11/10)^(1/2)*Boole[-(10/11)^(1/2)+1/2^(1/2)<=0]*20/9+20/9*2^(1/2)*Boole[-(10/11)^(1/2)+1/2^(1/2)<=0]	Pr[error] = Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[(10/11)^(1/2)+-1/2^(1/2)<=0],0.046,59,"(nan, nan)",0.0,59
sqrt(1/(x**2 - 1)),"[[1.01, 2]]","(1.1259662571238382, 1.2259227126392327)",317.397,4521,"(1.0781575222777833, 1.1899655981254975)",0.634,4521,N\S,0.0,4521,"E[p_] = 1/Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^2*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.478,4521,"(nan, nan)",0.0,4521
sqrt(1/(x + y)),"[[0.1, 1], [0.1, 1]]","(0.7646278381347033, 0.8646171569823569)",1238.739,18258,"(0.9535399760580112, 1.0569612662924535)",0.546,18258,N\S,0.0,18258,E[p_] = (11/10)^(3/2)*400/243*Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[-(10/11)^(1/2)+1/2^(1/2)<=0]*Boole[-5^(1/2)+1/2^(1/2)<=0]+(11/10)^(3/2)*80/243*Boole[(10/11)^(1/2)+-1/2^(1/2)==0]*Boole[-5^(1/2)+1/2^(1/2)<=0]+-(11/10)^(1/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[-(10/11)^(1/2)+1/2^(1/2)<=0]*Boole[-5^(1/2)+1/2^(1/2)<=0]*440/81+-(11/10)^(1/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)==0]*Boole[-5^(1/2)+1/2^(1/2)<=0]*160/81+-1/2^(1/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[(10/11)^(1/2)+-1/2^(1/2)<=0]*Boole[-5^(1/2)+1/2^(1/2)<=0]*40/81+-1/5^(3/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[(10/11)^(1/2)+-1/2^(1/2)<=0]*Boole[-5^(1/2)+1/2^(1/2)<=0]*100/243+-1/5^(3/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[-(10/11)^(1/2)+1/2^(1/2)<=0]*Boole[-5^(1/2)+1/2^(1/2)<=0]*200/243+-1/5^(3/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)==0]*Boole[-5^(1/2)+1/2^(1/2)<=0]*80/243+-200/243*2^(3/2)*Boole[(10/11)^(1/2)+-1/2^(1/2)!=0]*Boole[-(10/11)^(1/2)+1/2^(1/2)<=0]*Boole[-5^(1/2)+1/2^(1/2)<=0]+1/5^(1/2)*16/81*Boole[(10/11),0.157,18258,"(nan, nan)",0.0,18258
(x**2 + 3*x*y + x + 2*y**2 + 1)/(x*y + 2*y**2 + y + 2),"[[0, 1], [0, 1]]","(0.8878326416015625, 0.9877967834472656)",496.505,5597,"(0.8104365442264316, 1.0673079216973802)",0.702,5597,Not a monomial: (2.0 + y + (2.0 * (y ^ 2.0)) + (x * y)),0.037,5597,TBD,0.0,5597,"(0.9442828999999999, 0.07631871132618791)",0.07,5597
