Gubpi_output,Gubpi_time,Psi_output,Psi_time
"(1.0136034641944465, 1.0151540585556351)",0.54,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-206+-515*xi1^2+-685*xi1+-774*xi1^3<=0]*Boole[-xi1+1/100<=0]*Boole[206+515*xi1^2+685*xi1+774*xi1^3!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[206+515*xi1^2+685*xi1+774*xi1^3!=0]*Boole[206+515*xi1^2+685*xi1+774*xi1^3<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-206+-515*xi1^2+-685*xi1+-774*xi1^3<=0]*Boole[-xi1+1/100<=0]*Boole[206+515*xi1^2+685*xi1+774*xi1^3!=0],{xi1,-Infinity",0.05
"(1.079321485202829, 1.0797334929030842)",0.58,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-294*xi1^2+-740+-940*xi1^3+-xi1<=0]*Boole[-xi1+1/100<=0]*Boole[294*xi1^2+740+940*xi1^3+xi1!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[294*xi1^2+740+940*xi1^3+xi1!=0]*Boole[294*xi1^2+740+940*xi1^3+xi1<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-294*xi1^2+-740+-940*xi1^3+-xi1<=0]*Boole[-xi1+1/100<=0]*Boole[294*xi1^2+740+940*xi1^3+xi1!=0],{xi1,-Infinity,Infinity}]*Integrate[Bo",0.06
"(0.6531619479790908, 0.6532609626178533)",0.57,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-540*xi1^3+-665+-683*xi1^2+-747*xi1<=0]*Boole[-xi1+1/100<=0]*Boole[540*xi1^3+665+683*xi1^2+747*xi1!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[540*xi1^3+665+683*xi1^2+747*xi1!=0]*Boole[540*xi1^3+665+683*xi1^2+747*xi1<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-540*xi1^3+-665+-683*xi1^2+-747*xi1<=0]*Boole[-xi1+1/100<=0]*Boole[540*xi1^3+665+683*xi1^2+747*xi1!=0],{xi1,-Infinity",0.04
"(1.254437263431689, 1.2562062433698507)",0.55,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-222*xi1^3+-368*xi1^2+-395+-442*xi1<=0]*Boole[-xi1+1/100<=0]*Boole[222*xi1^3+368*xi1^2+395+442*xi1!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[222*xi1^3+368*xi1^2+395+442*xi1!=0]*Boole[222*xi1^3+368*xi1^2+395+442*xi1<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-222*xi1^3+-368*xi1^2+-395+-442*xi1<=0]*Boole[-xi1+1/100<=0]*Boole[222*xi1^3+368*xi1^2+395+442*xi1!=0],{xi1,-Infinity",0.05
"(0.8961457831477248, 0.8966138402694942)",0.5,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-167*xi1+-346*xi1^3+-467*xi1^2+-665<=0]*Boole[-xi1+1/100<=0]*Boole[167*xi1+346*xi1^3+467*xi1^2+665!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[167*xi1+346*xi1^3+467*xi1^2+665!=0]*Boole[167*xi1+346*xi1^3+467*xi1^2+665<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-167*xi1+-346*xi1^3+-467*xi1^2+-665<=0]*Boole[-xi1+1/100<=0]*Boole[167*xi1+346*xi1^3+467*xi1^2+665!=0],{xi1,-Infinity",0.04
"(0.6593665332842243, 0.6594227963826419)",0.46,E[p_] = (336/25)^(1/2)*4975/3069+(7593/1250)^(3/2)*216250/2568753+-(336/25)^(3/2)*216250/2568753+-(7593/1250)^(1/2)*4241/6138,0.02
"(0.7935375839309957, 0.7943757793380007)",0.48,"E[p_] = 100/99*Integrate[(126/25*xi1+231/50*xi1^2+49/50)*1/(143/100*xi1+154/25+53/50*xi1^2)^(1/2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0],{xi1,-Infinity,Infinity}]",0.03
"(0.8003268097140526, 0.8012155801582869)",0.54,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-192*xi1^3+-324+-519*xi1^2+-631*xi1<=0]*Boole[-xi1+1/100<=0]*Boole[192*xi1^3+324+519*xi1^2+631*xi1!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[192*xi1^3+324+519*xi1^2+631*xi1!=0]*Boole[192*xi1^3+324+519*xi1^2+631*xi1<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-192*xi1^3+-324+-519*xi1^2+-631*xi1<=0]*Boole[-xi1+1/100<=0]*Boole[192*xi1^3+324+519*xi1^2+631*xi1!=0],{xi1,-Infinity",0.04
"(1.6063168877947285, 1.6088877523882323)",0.51,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-11*xi1^2+-196*xi1+-213*xi1^3+-89<=0]*Boole[-xi1+1/100<=0]*Boole[11*xi1^2+196*xi1+213*xi1^3+89!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[11*xi1^2+196*xi1+213*xi1^3+89!=0]*Boole[11*xi1^2+196*xi1+213*xi1^3+89<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-11*xi1^2+-196*xi1+-213*xi1^3+-89<=0]*Boole[-xi1+1/100<=0]*Boole[11*xi1^2+196*xi1+213*xi1^3+89!=0],{xi1,-Infinity,Infinity}]*",0.04
"(0.3710901516903641, 0.37117823224679414)",0.52,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-492*xi1+-722+-806*xi1^3+-991*xi1^2<=0]*Boole[-xi1+1/100<=0]*Boole[492*xi1+722+806*xi1^3+991*xi1^2!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[492*xi1+722+806*xi1^3+991*xi1^2!=0]*Boole[492*xi1+722+806*xi1^3+991*xi1^2<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-492*xi1+-722+-806*xi1^3+-991*xi1^2<=0]*Boole[-xi1+1/100<=0]*Boole[492*xi1+722+806*xi1^3+991*xi1^2!=0],{xi1,-Infinity",0.04
"(1.2283252298295453, 1.2302789958479186)",0.55,"E[p_] = 100/99*Integrate[(132/25*xi1+197/100*xi1^2+23/4*xi1^3+237/25)*1/(161/100*xi1+579/100+901/100*xi1^2)^(1/2)*Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0],{xi1,-Infinity,Infinity}]",0.03
"(1.1556388379015736, 1.1571158431234614)",0.52,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-180*xi1^2+-271+-559*xi1+-983*xi1^3<=0]*Boole[-xi1+1/100<=0]*Boole[180*xi1^2+271+559*xi1+983*xi1^3!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[180*xi1^2+271+559*xi1+983*xi1^3!=0]*Boole[180*xi1^2+271+559*xi1+983*xi1^3<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-180*xi1^2+-271+-559*xi1+-983*xi1^3<=0]*Boole[-xi1+1/100<=0]*Boole[180*xi1^2+271+559*xi1+983*xi1^3!=0],{xi1,-Infinity",0.04
"(0.863179880788653, 0.8632624243841691)",0.57,"E[p_] = 1/(-1/(100/99*Integrate[Boole[-1+xi1<=0]*Boole[-129+-14*xi1+-169*xi1^3+-27*xi1^2<=0]*Boole[-xi1+1/100<=0]*Boole[129+14*xi1+169*xi1^3+27*xi1^2!=0],{xi1,-Infinity,Infinity}]+100/99*Integrate[Boole[-1+xi1<=0]*Boole[-xi1+1/100<=0]*Boole[129+14*xi1+169*xi1^3+27*xi1^2!=0]*Boole[129+14*xi1+169*xi1^3+27*xi1^2<=0],{xi1,-Infinity,Infinity}])*Integrate[Boole[-1+xi1<=0]*Boole[-129+-14*xi1+-169*xi1^3+-27*xi1^2<=0]*Boole[-xi1+1/100<=0]*Boole[129+14*xi1+169*xi1^3+27*xi1^2!=0],{xi1,-Infinity,Infinity}]*",0.04
