benchmark,faza,gubpi,latte,psi,volesti
rational/plain,0.09582231199108714,0.6181287037468534,0.0,0.0,0.24388653966666668
rational_sqrt/plain,0.07678689097521399,0.0009298413894113018,,,
sqrt/plain,0.09969774246215816,0.291023256533785,,0.0,
