formula_gubpi,bounds,output_faza,time_faza,n_hrects,output_gubpi,time_gubpi,output_latte,time_latte,output_volesti,time_volesti
(4.91*x**2 + 3.66*x*y + 8.28*x + 9.02*y**2 + 9.14*y + 2.04)/(1.53*x**2 + 4.7*x*y + 3.9*x + 1.67*y**2 + 1.15*y + 6.39),"[[0.1, 1], [0.1, 1]]","(1.1397071161550099, 1.239697560632063)",663.14,6268,"(1.1901383356830435, 1.758601475414579)",0.638,Not a monomial: (7194500404724367.0 + (1880252844427182.0 * (y ^ 2.0)) + (2589569785738035/2 * y) + (6890507429876859/4 * (x ^ 2.0)) + (8782019273372467/2 * x) + (5291729562160333.0 * x * y)),0.04,"(1.2062320000000002, 0.0962157607463559)",0.069
(1.17*x**2 + 9.98*x*y + 5.39*x + 2.63*y**2 + 6.41*y + 6.88)/(8.02*x**2 + 5.31*x*y + 8.92*x + 9.89*y**2 + 5.08*y + 7.77),"[[0.1, 1], [0.1, 1]]","(0.5647427502971445, 0.6646877089605783)",234.121,836,"(0.5815506826015413, 0.9439782583770484)",0.633,Not a monomial: (8748242276167188.0 + (5719571526760530.0 * y) + (9029717252877844.0 * (x ^ 2.0)) + (10043027169036206.0 * x) + (11135150078673552.0 * (y ^ 2.0)) + (5978528505334333.0 * x * y)),0.04,"(0.6117256999999999, 0.02325257752185766)",0.067
(0.53*x**2 + 4.24*x*y + 7.77*x + 2.13*y**2 + 3.3*y + 1.64)/(0.04*x**2 + 9.86*x*y + 6.12*x + 4.56*y**2 + 0.07*y + 6.73),"[[0.1, 1], [0.1, 1]]","(0.484389809625069, 0.5841887151257112)",202.769,456,"(0.6002305669926458, 0.721462571778355)",0.645,Not a monomial: (30309225492203440.0 + (20536414300809460.0 * (y ^ 2.0)) + (27562029719507436.0 * x) + (1261007895663739/4 * y) + (5764607523034235/32 * (x ^ 2.0)) + (44405492325873088.0 * x * y)),0.04,"(0.5384007000000001, 0.024825153643230492)",0.07
(4.38*x**2 + 0.05*x*y + 1.72*x + 2.8*y**2 + 5.83*y + 7.25)/(3.85*x**2 + 7.89*x*y + 2.99*x + 4.42*y**2 + 0.31*y + 8.52),"[[0.1, 1], [0.1, 1]]","(0.6898861219372727, 0.7897701158357358)",255.657,1098,"(0.8592714784141151, 0.9461052300729276)",0.644,Not a monomial: (2398166801574789/70368744177664 + (1683220360729723/140737488355328 * x) + (2488238794122199/140737488355328 * (y ^ 2.0)) + (5584463537939415/4503599627370496 * y) + (8669429282688205/562949953421312 * (x ^ 2.0)) + (8883350264988303/281474976710656 * x * y)),0.091,"(0.7223894, 0.030790840274990877)",0.071
(6.6*x**2 + 8.97*x*y + 9.15*x + 5.56*y**2 + 4.42*y + 9.05)/(7.72*x**2 + 4.84*x*y + 3.56*x + 6.34*y**2 + 3.21*y + 2.36),"[[0.1, 1], [0.1, 1]]","(1.5459739446007539, 1.6459687858151308)",1267.256,13868,"(1.3720350733810975, 2.5882619878501396)",0.656,Not a monomial: (5314247560297185/8 + (1784551352345559.0 * (y ^ 2.0)) + (3614138700964823/4 * y) + (8016407336719483/8 * x) + (8691947280825057/4 * (x ^ 2.0)) + (1362338887279575.0 * x * y)),0.042,"(1.5826349999999998, 0.09074432502917192)",0.074
(0.06*x**2 + 4.84*x*y + 0.97*x + 2.62*y**2 + 8.04*y + 6.11)/(2.38*x**2 + 1.97*x*y + 5.98*x + 1.88*y**2 + 9.73*y + 4.1),"[[0.1, 1], [0.1, 1]]","(0.6936592794848161, 0.7935041757742972)",273.001,1313,"(0.8147187728347272, 1.021726974103852)",0.646,Not a monomial: (4616189618054758.0 + (2116691824864133.0 * (y ^ 2.0)) + (2679641778285445.0 * (x ^ 2.0)) + (6732881442918892.0 * x) + (10955006093578732.0 * y) + (8872091265919877/4 * x * y)),0.038,"(0.7379516, 0.04052946462562762)",0.067
(9.17*x**2 + 5.58*x*y + 2.14*x + 9.54*y**2 + 2.66*y + 6.4)/(2.4*x**2 + 0.12*x*y + 8.36*x + 7.04*y**2 + 1.8*y + 8.46),"[[0.1, 1], [0.1, 1]]","(0.7426731457788153, 0.8425430087758997)",283.492,1427,"(0.8622903344737255, 1.1001033513452219)",0.655,Not a monomial: (4762556605944300.0 + (4706261610602168.0 * x) + (5404319552844595/4 * (x ^ 2.0)) + (7926335344172073/2 * (y ^ 2.0)) + (8106479329266893/8 * y) + (1080863910568919/16 * x * y)),0.04,"(0.8056243999999999, 0.02966382467653153)",0.068
(7.04*x**2 + 8.75*x*y + 3.38*x + 2.9*y**2 + 0.25*y + 9.31)/(0.16*x**2 + 7.71*x*y + 3.32*x + 9.67*y**2 + 4.08*y + 1.99),"[[0.1, 1], [0.1, 1]]","(1.300295669128025, 1.4002853415376122)",1855.555,21184,"(1.229251650282047, 2.1182965714272477)",0.632,Not a monomial: (8962163258467287/8 + (2296835809958953.0 * y) + (5443726049584087.0 * (y ^ 2.0)) + (5764607523034235/64 * (x ^ 2.0)) + (7475975381435023/4 * x) + (8680688281756631/2 * x * y)),0.041,"(1.388338, 0.04762967684123002)",0.069
(4.37*x**2 + 8.98*x*y + 2.91*x + 5.65*y**2 + 9.59*y + 8.26)/(1.65*x**2 + 7.55*x*y + 0.26*x + 6.7*y**2 + 9.19*y + 5.1),"[[0.1, 1], [0.1, 1]]","(1.1007540772718885, 1.2007374726544882)",541.433,4641,"(1.1548532528802138, 1.6919160599180998)",0.64,Not a monomial: (2871044762448691.0 + (5173510071941857.0 * y) + (1170935903116329/8 * x) + (3715469692580659/4 * (x ^ 2.0)) + (7543529375845581/2 * (y ^ 2.0)) + (8500544296661811/2 * x * y)),0.041,"(1.164941, 0.08932301321048233)",0.07
(2.94*x**2 + 4.21*x*y + 6.22*x + 4.12*y**2 + 3.46*y + 0.3)/(3.38*x**2 + 5.96*x*y + 1.77*x + 1.23*y**2 + 3.81*y + 4.87),"[[0.1, 1], [0.1, 1]]","(0.592256250209065, 0.6921151521430489)",285.325,1469,"(0.7078665753154754, 0.8816017764198916)",0.642,Not a monomial: (87730120741177264.0 + (22157710166662840.0 * (y ^ 2.0)) + (31885485361783112.0 * x) + (60888666962049104.0 * (x ^ 2.0)) + (68634858321126360.0 * y) + (107365815116512624.0 * x * y)),0.042,"(0.6625276, 0.04576189163747494)",0.068
(9.55*x**2 + 2.28*x*y + 9.48*x + 0.96*y**2 + 0.73*y + 1.32)/(2.99*x**2 + 2.05*x*y + 4.06*x + 8.24*y**2 + 8.7*y + 3.7),"[[0.1, 1], [0.1, 1]]","(0.5708081686572529, 0.6708073605439758)",676.787,6423,"(0.6613281614413531, 0.8729086098742684)",0.655,Not a monomial: (16663318621270836.0 + (13465762885837784.0 * (x ^ 2.0)) + (18284614487124212.0 * x) + (37109660929532888.0 * (y ^ 2.0)) + (39181316758123312.0 * y) + (9232379236109516.0 * x * y)),0.042,"(0.6433187, 0.049663585289525754)",0.07
(6.6*x**2 + 1.57*x*y + 8.66*x + 7.81*y**2 + 1.28*y + 1.19)/(0.71*x**2 + 6.95*x*y + 7.18*x + 9.44*y**2 + 9.95*y + 3.39),"[[0.1, 1], [0.1, 1]]","(0.4938522594511815, 0.5937425000255661)",331.529,2055,"(0.5781362298226743, 0.7680303752556107)",0.699,Not a monomial: (7633601368392991.0 + (1598777867716526.0 * (x ^ 2.0)) + (16167922662260080.0 * x) + (21256990241188740.0 * (y ^ 2.0)) + (22405408146168216.0 * y) + (15650008705112474.0 * x * y)),0.038,"(0.5501903, 0.04409601134354443)",0.07
(5.68*x**2 + 9.35*x*y + 8.15*x + 0.02*y**2 + 9.26*y + 9.76)/(8.47*x**2 + 9.32*x*y + 4.17*x + 8.68*y**2 + 1.34*y + 6.4),"[[0.1, 1], [0.1, 1]]","(1.0402209250936931, 1.1401823545233758)",449.921,3537,"(1.1148784332982533, 1.5868453393205446)",0.641,Not a monomial: (3602879701896397.0 + (2347501305766871.0 * x) + (4768186105478513.0 * (x ^ 2.0)) + (4886405595696988.0 * (y ^ 2.0)) + (6034823500676465/8 * y) + (5246693565886628.0 * x * y)),0.04,"(1.0763163, 0.04265139649777017)",0.07
