formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
(6.84*x**3+3.12*x**2+1.14*x**1+8.85*x**0)**(1/2),"(3.411859130859381, 3.5118587493896567)",43.368,"(2.7700632796509264, 3.4629326491921084)",0.452,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[104*xi1^2+228*xi1^3+295+38*xi1!=0]*Boole[104*xi1^2+228*xi1^3+295+38*xi1<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(171/25*xi1^3+177/20+57/50*xi1+78/25*xi1^2)^(1/2)*Boole[-1+xi1<=0]*Boole[-104*xi1^2+-228*xi1^3+-295+-38*xi1<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[104*xi1^2+228*xi1^3+295+38*xi1!=0]*Boole[104*xi1^2+228*xi1^3+295+38*xi1<=0],{xi1,-Infinity,Infinity}]",0.047,"(nan, nan)",0.0
(5.14*x**0)**(1/2),"(2.2487499999999994, 2.3475720214843743)",4.536,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_11.spcf']' died with <Signals.SIGABRT: 6>.",0.303,N\S,0.0,E[p_] = (257/50)^(1/2),0.033,"(nan, nan)",0.0
(6.13*x**2+2.03*x**1+0.83*x**0)**(1/2),"(1.8201265716552772, 1.9200596618652368)",8.369,"(1.8700473195386966, 1.8732915459073574)",0.422,N\S,0.0,"E[p_] = 1/Integrate[1/(-162307/10000+613/25*xi1^2)^(1/2)*Boole[(-162307/10000+613/25*xi1^2)^(1/2)+-1429/100<=0]*Boole[(162307/245200)^(1/2)+-xi1!=0]*Boole[(162307/245200)^(1/2)+-xi1<=0]*Boole[-(-162307/10000+613/25*xi1^2)^(1/2)+203/100<=0]*xi1,{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-162307/10000+613/25*xi1^2)^(1/2)*Boole[(-162307/10000+613/25*xi1^2)^(1/2)+-1429/100<=0]*Boole[(162307/245200)^(1/2)+-xi1!=0]*Boole[(162307/245200)^(1/2)+-xi1<=0]*Boole[-(-162307/10000+613/25*xi1^2)^(1/2)+203/100<=0]*xi1,{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-162307/10000+613/25*xi1^2)^(1/2)*Boole[(-162307/10000+613/25*xi1^2)^(1/2)+-1429/100<=0]*Boole[(162307/245200)^(1/2)+-xi1!=0]*Boole[(162307/245200)^(1/2)+-xi1<=0]*Boole[-(-162307/10000+613/25*xi1^2)^(1/2)+203/100<=0]*xi1^2,{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-162307/10000+613/25*xi1^2)^(1/2)*Boole[(-162307/10000+613/25*xi1^2)^(1/2)+-1429/100<=0]*Boole[(162307/245200)^(1/2)+-xi1!=0]*Boole[(162307/245200)^(1/2)+-xi1<=0]*Bool",1.809,"(nan, nan)",0.0
(6.29*x**2+1.02*x**1+9.89*x**0)**(1/2),"(3.469604492187502, 3.5694999694824223)",11.562,"(3.145303255611726, 3.5238320009166837)",0.487,N\S,0.0,"E[p_] = 1/Integrate[1/(-30974/125+629/25*xi1^2)^(1/2)*Boole[(-30974/125+629/25*xi1^2)^(1/2)+-68/5<=0]*Boole[(1822/185)^(1/2)+-xi1!=0]*Boole[(1822/185)^(1/2)+-xi1<=0]*Boole[-(-30974/125+629/25*xi1^2)^(1/2)+51/50<=0]*xi1,{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-30974/125+629/25*xi1^2)^(1/2)*Boole[(-30974/125+629/25*xi1^2)^(1/2)+-68/5<=0]*Boole[(1822/185)^(1/2)+-xi1!=0]*Boole[(1822/185)^(1/2)+-xi1<=0]*Boole[-(-30974/125+629/25*xi1^2)^(1/2)+51/50<=0]*xi1,{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-30974/125+629/25*xi1^2)^(1/2)*Boole[(-30974/125+629/25*xi1^2)^(1/2)+-68/5<=0]*Boole[(1822/185)^(1/2)+-xi1!=0]*Boole[(1822/185)^(1/2)+-xi1<=0]*Boole[-(-30974/125+629/25*xi1^2)^(1/2)+51/50<=0]*xi1^2,{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-30974/125+629/25*xi1^2)^(1/2)*Boole[(-30974/125+629/25*xi1^2)^(1/2)+-68/5<=0]*Boole[(1822/185)^(1/2)+-xi1!=0]*Boole[(1822/185)^(1/2)+-xi1<=0]*Boole[-(-30974/125+629/25*xi1^2)^(1/2)+51/50<=0]*xi1,{xi1,-Infinity,Infinity}]==0]",1.755,"(nan, nan)",0.0
(3.77*x**1+0.95*x**0)**(1/2),"(1.6006054687500029, 1.6999951171875027)",5.736,"(1.6487652662526917, 1.6504458707871763)",0.47,N\S,0.0,E[p_] = (118/25)^(3/2)*200/1131+-(19/20)^(3/2)*200/1131,0.047,"(nan, nan)",0.0
(5.24*x**1+8.95*x**0)**(1/2),"(3.337419319152847, 3.4366406250000137)",10.403,"(3.392624991266619, 3.3956378662971125)",0.579,N\S,0.0,E[p_] = (1419/100)^(3/2)*50/393+-(179/20)^(3/2)*50/393,0.041,"(nan, nan)",0.0
(4.34*x**3+1.25*x**2+4.18*x**1+8.24*x**0)**(1/2),"(3.3658825683593987, 3.4657762908935785)",41.997,"(2.9598519469185685, 3.4191513533326217)",0.547,N\S,0.0,"E[p_] = 1/(-Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[125*xi1^2+418*xi1+434*xi1^3+824!=0]*Boole[125*xi1^2+418*xi1+434*xi1^3+824<=0],{xi1,-Infinity,Infinity}]+1)*Integrate[(206/25+209/50*xi1+217/50*xi1^3+5/4*xi1^2)^(1/2)*Boole[-1+xi1<=0]*Boole[-125*xi1^2+-418*xi1+-434*xi1^3+-824<=0]*Boole[-xi1<=0],{xi1,-Infinity,Infinity}]	Pr[error] = Integrate[Boole[-1+xi1<=0]*Boole[-xi1<=0]*Boole[125*xi1^2+418*xi1+434*xi1^3+824!=0]*Boole[125*xi1^2+418*xi1+434*xi1^3+824<=0],{xi1,-Infinity,Infinity}]",0.054,"(nan, nan)",0.0
(9.95*x**1+7.67*x**0)**(1/2),"(3.482609024047858, 3.582356033325201)",11.767,"(2.8632258762524523, 3.534367428198229)",0.51,N\S,0.0,E[p_] = (881/50)^(3/2)*40/597+-(767/100)^(3/2)*40/597,0.056,"(nan, nan)",0.0
(2.95*x**1+0.87*x**0)**(1/2),"(1.4511523437499982, 1.5507092285156243)",5.575,"(1.5032097809171505, 1.504536876631744)",0.475,N\S,0.0,E[p_] = (191/50)^(3/2)*40/177+-(87/100)^(3/2)*40/177,0.046,"(nan, nan)",0.0
(1.4*x**0)**(1/2),"(1.1265624999999988, 1.2249999999999988)",3.175,"Command '['./app/GuBPI', 'experimental_results/gubpi_template_bench_sqrt_19.spcf']' died with <Signals.SIGABRT: 6>.",0.323,N\S,0.0,E[p_] = (7/5)^(1/2),0.035,"(nan, nan)",0.0
