bechmark,formula,index,output,error,time,details
benchmarks,((x**2+x+1)*100)/(x**3+1),10,"(135.872, 157.79)",,"(0.0576934814453125, 0.07131004333496094)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 135.872, 'time': 0.06345415115356445}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 148.682, 'time': 0.05899667739868164}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 147.115, 'time': 0.05956554412841797}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 141.636, 'time': 0.0678410530090332}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 153.809, 'time': 0.07131004333496094}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 142.202, 'time': 0.06215929985046387}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 157.79, 'time': 0.0576934814453125}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 139.832, 'time': 0.06246805191040039}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 139.878, 'time': 0.05857563018798828}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 150.351, 'time': 0.05888986587524414}]"
benchmarks,(x*100/( 4.0 + x**2)),11,"(10.1472, 12.2783)",,"(0.05024909973144531, 0.07886266708374023)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 10.8854, 'time': 0.06405091285705566}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 10.8794, 'time': 0.059322357177734375}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 12.2783, 'time': 0.07886266708374023}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 11.0214, 'time': 0.05959725379943848}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 10.1942, 'time': 0.05855584144592285}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 10.8237, 'time': 0.05693221092224121}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 10.9837, 'time': 0.062391042709350586}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 11.2982, 'time': 0.05559968948364258}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 10.1472, 'time': 0.05024909973144531}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 11.3795, 'time': 0.05399656295776367}]"
benchmarks,((x**3)*100/(4.0+x**2)),12,"(4.85604, 5.7459)",,"(0.05518627166748047, 0.07317686080932617)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.43077, 'time': 0.06794571876525879}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.21438, 'time': 0.05518627166748047}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.16447, 'time': 0.05672645568847656}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.10765, 'time': 0.05801272392272949}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.9306, 'time': 0.0565495491027832}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.37371, 'time': 0.05680370330810547}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.55854, 'time': 0.05739474296569824}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.7459, 'time': 0.06626605987548828}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.57367, 'time': 0.059513092041015625}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.85604, 'time': 0.07317686080932617}]"
benchmarks,(100/(4.0*x**2 + 9.0*x + 16.0)),13,"(4.39984, 5.01003)",,"(0.05501675605773926, 0.07091164588928223)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.89429, 'time': 0.0623624324798584}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.01003, 'time': 0.07091164588928223}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.70123, 'time': 0.05904269218444824}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 5.00207, 'time': 0.06135082244873047}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.39984, 'time': 0.06089472770690918}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.70252, 'time': 0.06377410888671875}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.85953, 'time': 0.06235146522521973}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.79974, 'time': 0.05501675605773926}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.63718, 'time': 0.060973405838012695}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 4.88476, 'time': 0.06565093994140625}]"
benchmarks,(100/( (4.0+x) * (x+9.0) )),14,"(2.12843, 2.51181)",,"(0.05094194412231445, 0.06880617141723633)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.48485, 'time': 0.05684518814086914}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.45683, 'time': 0.06084179878234863}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.21549, 'time': 0.06880617141723633}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.51181, 'time': 0.06519913673400879}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.27908, 'time': 0.05934333801269531}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.35262, 'time': 0.05523991584777832}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.12843, 'time': 0.05094194412231445}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.30087, 'time': 0.05515933036804199}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.30782, 'time': 0.05971813201904297}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 2.22067, 'time': 0.05772066116333008}]"
benchmarks,((10000/x)**(1/2)),15,,N\S,6.29425048828125e-05,[]
benchmarks,((1000000/x)**(1/3)),16,,N\S,7.367134094238281e-05,[]
benchmarks,((10000/(x+1))**(1/2)),17,,N\S,6.508827209472656e-05,[]
benchmarks,(10000/(x**2-1))**(1/2),18,,N\S,7.200241088867188e-05,[]
benchmarks,(10000/(x+y))**(1/2),19,,N\S,0.00010061264038085938,[]
benchmarks,((x**2 + 2*y**2 + 3*y*x + x + 1)*100/(2*y**2 + y*x + y + 2)),20,"(83.221, 103.328)",,"(0.06093168258666992, 0.08808708190917969)","[{'N': 10000, 'repeat': 0, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 95.4291, 'time': 0.08254814147949219}, {'N': 10000, 'repeat': 1, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 93.4623, 'time': 0.07086682319641113}, {'N': 10000, 'repeat': 2, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 101.511, 'time': 0.0746302604675293}, {'N': 10000, 'repeat': 3, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 93.8963, 'time': 0.06419801712036133}, {'N': 10000, 'repeat': 4, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 95.6625, 'time': 0.0676424503326416}, {'N': 10000, 'repeat': 5, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 103.328, 'time': 0.06093168258666992}, {'N': 10000, 'repeat': 6, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 95.5879, 'time': 0.06713032722473145}, {'N': 10000, 'repeat': 7, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 93.6482, 'time': 0.06273198127746582}, {'N': 10000, 'repeat': 8, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 83.221, 'time': 0.08808708190917969}, {'N': 10000, 'repeat': 9, 'n_integrations': 1, 'mode': 'SAE4WMI', 'output': 95.5694, 'time': 0.07413601875305176}]"
