formula_gubpi,output_faza,time_faza,output_gubpi,time_gubpi,output_latte,time_latte,output_psi,time_psi,output_volesti,time_volesti
((x*100)/( 4.0 + x**2)),"(11.105995178222658, 11.205978393554693)",81.14,"(0.3191055917455714, 11.162752168214817)",0.377,Not a monomial: (4.0 + (x ^ 2.0)),0.032,"E[p_] = 1/Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(-175+1/xi1*1600)^(1/2)*1/xi1^2*Boole[(-175+1/xi1*1600)^(1/2)+-17<=0]*Boole[-(-175+1/xi1*1600)^(1/2)+9<=0]*Boole[-1/xi1+7/64!=0]*Boole[-1/xi1+7/64<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.232,"(11.26569, 0.6767794906023674)",0.063
(((x**3)*100)/(4.0+x**2)),"(5.323982238769531, 5.423870086669922)",77.39,"(0.5663400696474378, 5.376511818963688)",0.423,Not a monomial: (4.0 + (x ^ 2.0)),0.027,"E[p_] = 1/Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1/xi1*400+25)^(1/2)*1/xi1^2*Boole[(1/xi1*400+25)^(1/2)+-15<=0]*Boole[-(1/xi1*400+25)^(1/2)+13<=0]*Boole[-1/16+-1/xi1!=0]*Boole[-1/16+-1/xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.173,"(5.235946, 0.255359774404662)",0.06
(100/(4.0*x**2 + 9.0*x + 16.0)),"(4.667854309082031, 4.767608642578125)",31.837,"(0.9276544191989637, 4.720628468359892)",0.388,Not a monomial: (16.0 + (4.0 * (x ^ 2.0)) + (9.0 * x)),0.021,E[p_] = 20/11,0.034,"(4.636750999999999, 0.25511056204908483)",0.06
(100/( (4.0+x) * (x+9.0) )),"(2.303059895833335, 2.4027506510416683)",24.097,"(2.3546278000721466, 2.356693662997182)",0.392,Not a monomial: (36.0 + (x ^ 2.0) + (13.0 * x)),0.025,E[p_] = -1/100^(2/3)*50/33+50/33,0.044,"(2.445807, 0.059962815986242736)",0.061
((1/x)**(1/2)),"(1.7499117851257324, 1.84989595413208)",119.974,"(1.5129147687923277, 1.8208096162128216)",0.35,N\S,0.0,E[p_] = -101^(1/2)*Boole[-1/101^(1/2)*10+1/2^(1/2)<=0]*20/99+200/99*2^(1/2)*Boole[-1/101^(1/2)*10+1/2^(1/2)<=0]	Pr[error] = Boole[-1/2^(1/2)+1/101^(1/2)*10!=0]*Boole[-1/2^(1/2)+1/101^(1/2)*10<=0],0.036,"(nan, nan)",0.0
((1/x)**(1/3)),"(1.3795030117034912, 1.4794871807098389)",530.127,N\S,0.0,N\S,0.0,"E[p_] = 1/Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]*Boole[Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]!=0]*Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^2*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]	Pr[error] = Boole[Integrate[1/(1+1/xi1^2)^(1/2)*1/xi1^3*Boole[(1+1/xi1^2)^(1/2)+-2<=0]*Boole[-(1+1/xi1^2)^(1/2)+101/100<=0]*Boole[-xi1<=0]*Boole[xi1!=0],{xi1,-Infinity,Infinity}]==0]",0.37,"(nan, nan)",0.0
((1/(x+1))**(1/2)),"(0.765779702970297, 0.8595877165841582)",13.381,"(0.8266129039158656, 0.8268254846338479)",0.374,N\S,0.0,TBD,0.0,"(nan, nan)",0.0
(1/(x**2-1))**(1/2),"(1.1269996415323587, 1.226956097047753)",359.521,"(1.0781575222777833, 1.1899655981254975)",0.403,N\S,0.0,TBD,0.0,"(nan, nan)",0.0
(1/(x+y))**(1/2),TBD,0.0,"(0.9845323602149237, 1.199219121802692)",0.486,N\S,0.0,TBD,0.0,"(nan, nan)",0.0
((x**2 + 2*y**2 + 3*y*x + x + 1)*1/(2*y**2 + y*x + y + 2)),TBD,0.0,"(0.8104365442264316, 1.0673079216973802)",0.549,Not a monomial: (2.0 + y + (2.0 * (y ^ 2.0)) + (x * y)),0.037,TBD,0.0,"(0.9687436, 0.035632310851809755)",0.064
