benchmark,faza,gubpi,latte,psi,volesti
rational/plain,259.4831266403198,0.6407322883605957,0.1982851028442382,258.765722990036,0.1321103572845459
rational/with_constant,230.3535807132721,0.6003501415252686,0.1849346160888672,287.66717553138733,0.11470818519592285
rational_2/plain,10969.145425796509,0.798802375793457,0.0910351276397705,,0.06633114814758301
rational_2/with_constant,,0.6941533088684082,0.1090724468231201,,0.1316392421722412
rational_sqrt/plain,184.0938575267792,0.7651565074920654,5.960464477539063e-05,13.715831995010376,9.703636169433594e-05
rational_sqrt/with_constant,1359.594360589981,0.4814460277557373,6.937980651855469e-05,3601.624309539795,0.0001728534698486
sqrt/plain,54.39783048629761,0.6000189781188965,6.341934204101562e-05,1.8848576545715328,0.0002989768981933
sqrt/with_constant,177.01867961883545,0.464677095413208,7.605552673339844e-05,3.0893771648406982,0.000129222869873
