benchmark,faza,gubpi,latte,psi,volesti
rational/plain,58.002393432391116,0.058071956376601556,0.04666367187407118,43.61957985868735,0.005689838104638437
rational_2/plain,1995.8989413591535,0.043308691754241006,0.009625245950985205,,0.0033450564190283453
sqrt/plain,16.638907825400857,0.0848256387990473,6.141681150940943e-06,0.708235830243817,4.66958720404709e-05
rational_sqrt/plain,63.49486247279646,0.10000612642836663,4.050906767712078e-06,9.681799720557136,9.94276020696713e-06
rational/with_constant,54.99508630695895,0.038407004479628,0.04542572559787038,88.65464889413356,0.004246243462068951
rational_2/with_constant,,0.019758601841135693,0.01258263313242315,,0.01060111405102872
sqrt/with_constant,45.748611903739786,0.06154060849878706,7.335294327690854e-06,1.0186622022984877,1.757178151356637e-05
rational_sqrt/with_constant,246.42387778631098,0.05284081699287186,4.90321982499581e-06,659.1819390575134,2.4307205328691224e-05
