benchmark,faza,gubpi,latte,psi,volesti
rational/plain,0.008969074322793582,0.05785752994013812,0.0,0.0,0.022583810127869818
rational_2/plain,0.034791239309788634,0.25803032565495,,,0.07795820506418849
sqrt/plain,0.05835797193290745,0.1703501665854501,,0.0,
rational_sqrt/plain,0.7678969051088526,0.009298752900433657,,,
rational/with_constant,0.0015480114933667452,0.11785075275282236,0.0,0.0,0.02041505182631343
rational_2/with_constant,,0.4227339867769629,,,0.06165480171096966
sqrt/with_constant,0.009678532660307364,0.5582909466233708,,0.0,
rational_sqrt/with_constant,0.016536356648171102,0.0885267924621143,,0.0,
