benchmark,faza,gubpi,latte,psi,volesti
rational/plain,0.09997016455919416,10.683634513716637,0.0,0.0,1.4533700000000014
rational_2/plain,0.09999949584070311,1.7501508387428366,,,0.42791000000000023
rational_sqrt/plain,0.09999635428186693,0.0035443752002632944,,,
sqrt/plain,0.09999961853027584,1.7083825767073937,,0.0,
