benchmark,faza,gubpi,latte,psi,volesti
rational/plain,0.015133444721054783,2.1300427368282677,0.0,0.0,0.3122005875208713
rational_2/plain,7.316475010708505e-05,0.4301104587865429,,,0.09861479761806403
sqrt/plain,0.00036386257374060196,0.4558692951060086,,0.0,
rational_sqrt/plain,0.04010211417142939,0.0008137451749332101,,,
rational/with_constant,0.0015871561048485885,13.367806424233613,0.0,0.0,2.947173983947148
rational_2/with_constant,,3.557952021553826,,,0.4809038675151504
sqrt/with_constant,0.018245670114171133,3.526169345813137,,0.0,
rational_sqrt/with_constant,0.01984397679761896,1.3191822211184083,,0.0,
