benchmark,faza,gubpi,latte,psi,volesti
rational/plain,0.09582231199108714,0.6181287037468534,0.0,0.0,0.2412771733333333
rational_2/plain,0.09991909810619867,0.48159427661791443,,,0.17372230000000002
sqrt/plain,0.09969774246215816,0.291023256533785,,0.0,
rational_sqrt/plain,0.07678689097521399,0.0009298413894113018,,,
rational/with_constant,0.09901813180064423,7.538291168306894,0.0,0.0,1.3058432066666665
rational_2/with_constant,,5.4458972902263145,,,0.7972313033333335
sqrt/with_constant,0.09660383959193879,5.572440673204589,,0.0,
rational_sqrt/with_constant,0.09426715094454612,0.5046558129589932,,0.0,
